id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Caro??
1565950030,20150427T000000,364950.0,4,2.5,1930,6957,2.0,0,0,3,8,1930,0,1995,0,98055,47.4309,-122.191,2090,6996,1
646910160,20140903T000000,237000.0,3,2.5,1490,2138,2.0,0,0,3,7,1490,0,2005,0,98055,47.4324,-122.197,1490,2094,0
1742800030,20140612T000000,578000.0,4,2.5,3140,9225,1.0,0,2,5,9,1770,1370,1966,0,98055,47.4904,-122.226,2460,9600,1
2475200140,20150205T000000,370000.0,3,2.0,1680,5036,1.0,0,1,4,7,1680,0,1987,0,98055,47.4734,-122.186,1680,4921,1
8906200070,20150210T000000,280000.0,3,1.5,1670,11610,1.0,0,0,4,7,1670,0,1963,0,98055,47.4404,-122.191,1930,10200,0
3340401555,20141105T000000,235000.0,4,1.5,1690,11054,1.0,0,0,4,5,1690,0,1930,0,98055,47.4667,-122.215,1690,9040,0
9485740340,20150310T000000,346900.0,4,2.5,1970,5106,2.0,0,0,3,8,1970,0,1999,0,98055,47.449,-122.205,2230,5109,0
3294700310,20140902T000000,261000.0,2,1.0,750,8125,1.0,0,0,4,6,750,0,1943,0,98055,47.4727,-122.198,1340,8750,1
2781280390,20150324T000000,290000.0,3,2.5,1610,2937,2.0,0,0,3,8,1610,0,2006,0,98055,47.4489,-122.18799999999999,1610,3049,0
9133600075,20140821T000000,373000.0,3,1.75,1830,11788,1.0,0,1,3,8,1430,400,1958,0,98055,47.4862,-122.22399999999999,2140,11964,1
1742800060,20140612T000000,501000.0,3,1.75,1970,7972,1.0,0,3,5,8,1370,600,1976,0,98055,47.4908,-122.225,2460,9796,1
6623400135,20140522T000000,324000.0,3,2.5,1750,7208,2.0,0,0,3,8,1750,0,1994,0,98055,47.4315,-122.19200000000001,2050,7524,1
8899200570,20150311T000000,280000.0,3,2.25,1900,7800,1.0,0,0,4,8,1390,510,1977,0,98055,47.4545,-122.208,1730,7800,0
2892600016,20150317T000000,197500.0,2,1.0,820,8860,1.0,0,0,3,6,820,0,1950,0,98055,47.452,-122.19,1660,15375,1
3340401535,20141105T000000,140000.0,1,1.0,730,6890,1.0,0,0,4,4,730,0,1926,0,98055,47.467,-122.215,1790,7969,1
